ID                                      0xbd0b
Delivery_person_ID             COIMBRES06DEL03
Delivery_person_Age                  24.000000
Delivery_person_Ratings               4.600000
Restaurant_latitude                  11.021278
Restaurant_longitude                 76.995017
Delivery_location_latitude           11.111278
Delivery_location_longitude          77.085017
Order_Date                          14-03-2022
Time_Orderd                              23:30
Time_Order_picked                        23:45
Weather conditions                  Sandstorms
Road_traffic_density                       Low
Vehicle_condition                            2
Type_of_order                             Meal
Type_of_vehicle                        scooter
multiple_deliveries                   0.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     15.000000
Name: 31473, dtype: object
