ID                                      0xc0e5
Delivery_person_ID             AURGRES010DEL03
Delivery_person_Age                  38.000000
Delivery_person_Ratings               4.500000
Restaurant_latitude                 -19.875337
Restaurant_longitude                 75.316722
Delivery_location_latitude           19.905337
Delivery_location_longitude          75.346722
Order_Date                          13-02-2022
Time_Orderd                              21:50
Time_Order_picked                        21:60
Weather conditions                      Stormy
Road_traffic_density                       Jam
Vehicle_condition                            0
Type_of_order                           Buffet
Type_of_vehicle                     motorcycle
multiple_deliveries                   1.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     30.000000
Name: 5997, dtype: object
