ID                                    0xbbc3
Delivery_person_ID             VADRES11DEL02
Delivery_person_Age                32.000000
Delivery_person_Ratings             3.800000
Restaurant_latitude                22.308096
Restaurant_longitude               73.167753
Delivery_location_latitude         22.438096
Delivery_location_longitude        73.297753
Order_Date                        02-04-2022
Time_Orderd                            19:10
Time_Order_picked                      19:25
Weather conditions                    Stormy
Road_traffic_density                     Jam
Vehicle_condition                          1
Type_of_order                           Meal
Type_of_vehicle                      scooter
multiple_deliveries                 1.000000
Festival                                 Yes
City                           Metropolitian
Time_taken (min)                   43.000000
Name: 33835, dtype: object
