ID                                     0xbac
Delivery_person_ID             MUMRES20DEL01
Delivery_person_Age                37.000000
Delivery_person_Ratings             4.800000
Restaurant_latitude                19.103249
Restaurant_longitude               72.846749
Delivery_location_latitude         19.143249
Delivery_location_longitude        72.886749
Order_Date                        19-03-2022
Time_Orderd                            16:20
Time_Order_picked                      16:35
Weather conditions                     Sunny
Road_traffic_density                  Medium
Vehicle_condition                          2
Type_of_order                         Drinks
Type_of_vehicle                      scooter
multiple_deliveries                 0.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   16.000000
Name: 40537, dtype: object
