ID                                     0x95ec
Delivery_person_ID             PUNERES15DEL01
Delivery_person_Age                 38.000000
Delivery_person_Ratings              4.600000
Restaurant_latitude                 18.636215
Restaurant_longitude                73.751081
Delivery_location_latitude          18.746215
Delivery_location_longitude         73.861081
Order_Date                         29-03-2022
Time_Orderd                             22:15
Time_Order_picked                       22:25
Weather conditions                     Stormy
Road_traffic_density                      Low
Vehicle_condition                           0
Type_of_order                           Snack
Type_of_vehicle                    motorcycle
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    29.000000
Name: 44269, dtype: object
