ID                                       0x8aaa
Delivery_person_ID                SURRES17DEL03
Delivery_person_Age                   32.000000
Delivery_person_Ratings                4.100000
Restaurant_latitude                   21.149569
Restaurant_longitude                  72.772697
Delivery_location_latitude            21.179569
Delivery_location_longitude           72.802697
Order_Date                           30-03-2022
Time_Orderd                               21:30
Time_Order_picked                         21:35
Weather conditions                   Sandstorms
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      34.000000
Name: 14924, dtype: object
