ID                                    0xd0c9
Delivery_person_ID             DEHRES13DEL03
Delivery_person_Age                      NaN
Delivery_person_Ratings                  NaN
Restaurant_latitude                30.366322
Restaurant_longitude               78.070453
Delivery_location_latitude         30.426322
Delivery_location_longitude        78.130453
Order_Date                        17-02-2022
Time_Orderd                              NaN
Time_Order_picked                      21:50
Weather conditions                     Sunny
Road_traffic_density                     Jam
Vehicle_condition                          0
Type_of_order                         Drinks
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   50.000000
Name: 38735, dtype: object
