ID                                      0x8e0e
Delivery_person_ID             COIMBRES04DEL01
Delivery_person_Age                  31.000000
Delivery_person_Ratings               4.700000
Restaurant_latitude                  11.024839
Restaurant_longitude                 77.007003
Delivery_location_latitude           11.034839
Delivery_location_longitude          77.017003
Order_Date                          03-03-2022
Time_Orderd                              11:60
Time_Order_picked                        12:10
Weather conditions                         Fog
Road_traffic_density                      High
Vehicle_condition                            1
Type_of_order                           Buffet
Type_of_vehicle                        scooter
multiple_deliveries                   1.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     26.000000
Name: 6251, dtype: object
