ID                                      0xadab
Delivery_person_ID             COIMBRES05DEL02
Delivery_person_Age                  33.000000
Delivery_person_Ratings               4.800000
Restaurant_latitude                  11.022169
Restaurant_longitude                 76.999594
Delivery_location_latitude           11.102169
Delivery_location_longitude          77.079594
Order_Date                          10-03-2022
Time_Orderd                              21:55
Time_Order_picked                        22:05
Weather conditions                         Fog
Road_traffic_density                       Jam
Vehicle_condition                            1
Type_of_order                           Buffet
Type_of_vehicle                     motorcycle
multiple_deliveries                   0.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     40.000000
Name: 37729, dtype: object
