ID                                       0x6eaf
Delivery_person_ID                VADRES02DEL01
Delivery_person_Age                       28.00
Delivery_person_Ratings                    4.80
Restaurant_latitude                        0.00
Restaurant_longitude                       0.00
Delivery_location_latitude                 0.07
Delivery_location_longitude                0.07
Order_Date                           14-03-2022
Time_Orderd                               23:20
Time_Order_picked                         23:25
Weather conditions                          Fog
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                             Snack
Type_of_vehicle                electric_scooter
multiple_deliveries                        1.00
Festival                                     No
City                                      Urban
Time_taken (min)                          28.00
Name: 5849, dtype: object
