ID                                      0xb40e
Delivery_person_ID             COIMBRES08DEL01
Delivery_person_Age                  29.000000
Delivery_person_Ratings               4.700000
Restaurant_latitude                  11.001852
Restaurant_longitude                 76.976268
Delivery_location_latitude           11.111852
Delivery_location_longitude          77.086268
Order_Date                          02-03-2022
Time_Orderd                              20:35
Time_Order_picked                        20:40
Weather conditions                       Windy
Road_traffic_density                       Jam
Vehicle_condition                            1
Type_of_order                            Snack
Type_of_vehicle                     motorcycle
multiple_deliveries                   1.000000
Festival                                    No
City                                     Urban
Time_taken (min)                     24.000000
Name: 1333, dtype: object
