ID                                    0x6b7d
Delivery_person_ID             VADRES02DEL03
Delivery_person_Age                    33.00
Delivery_person_Ratings                 4.50
Restaurant_latitude                     0.00
Restaurant_longitude                    0.00
Delivery_location_latitude              0.09
Delivery_location_longitude             0.09
Order_Date                        31-03-2022
Time_Orderd                            19:30
Time_Order_picked                      19:40
Weather conditions                Sandstorms
Road_traffic_density                     Jam
Vehicle_condition                          1
Type_of_order                         Drinks
Type_of_vehicle                      scooter
multiple_deliveries                     0.00
Festival                                  No
City                           Metropolitian
Time_taken (min)                       27.00
Name: 440, dtype: object
