ID                                       0x4c8f
Delivery_person_ID                MUMRES01DEL01
Delivery_person_Age                   20.000000
Delivery_person_Ratings                4.700000
Restaurant_latitude                   19.126630
Restaurant_longitude                  72.829976
Delivery_location_latitude            19.136630
Delivery_location_longitude           72.839976
Order_Date                           07-03-2022
Time_Orderd                               10:10
Time_Order_picked                         10:15
Weather conditions                   Sandstorms
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                              Meal
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                                      Urban
Time_taken (min)                      17.000000
Name: 22318, dtype: object
