ID                                     0xbdf7
Delivery_person_ID             CHENRES01DEL02
Delivery_person_Age                 36.000000
Delivery_person_Ratings              4.300000
Restaurant_latitude                 13.005801
Restaurant_longitude                80.250744
Delivery_location_latitude          13.135801
Delivery_location_longitude         80.380744
Order_Date                         10-03-2022
Time_Orderd                             20:40
Time_Order_picked                       20:45
Weather conditions                 Sandstorms
Road_traffic_density                      Jam
Vehicle_condition                           1
Type_of_order                          Drinks
Type_of_vehicle                       scooter
multiple_deliveries                  1.000000
Festival                                  Yes
City                            Metropolitian
Time_taken (min)                    44.000000
Name: 37055, dtype: object
