ID                                       0x3d8a
Delivery_person_ID                VADRES07DEL03
Delivery_person_Age                       25.00
Delivery_person_Ratings                    4.60
Restaurant_latitude                        0.00
Restaurant_longitude                       0.00
Delivery_location_latitude                 0.03
Delivery_location_longitude                0.03
Order_Date                           05-03-2022
Time_Orderd                               19:60
Time_Order_picked                         20:15
Weather conditions                        Windy
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                             Snack
Type_of_vehicle                electric_scooter
multiple_deliveries                        0.00
Festival                                    NaN
City                                      Urban
Time_taken (min)                          11.00
Name: 11749, dtype: object
