ID                                    0xbfc0
Delivery_person_ID             KOCRES15DEL02
Delivery_person_Age                34.000000
Delivery_person_Ratings             4.000000
Restaurant_latitude                10.027364
Restaurant_longitude               76.308258
Delivery_location_latitude         10.047364
Delivery_location_longitude        76.328258
Order_Date                        15-02-2022
Time_Orderd                             9:40
Time_Order_picked                       9:45
Weather conditions                Sandstorms
Road_traffic_density                     Low
Vehicle_condition                          0
Type_of_order                           Meal
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   27.000000
Name: 7483, dtype: object
