ID                                     0xe0c6
Delivery_person_ID             LUDHRES12DEL02
Delivery_person_Age                 39.000000
Delivery_person_Ratings              4.600000
Restaurant_latitude                 30.893244
Restaurant_longitude                75.821817
Delivery_location_latitude          31.023244
Delivery_location_longitude         75.951817
Order_Date                         12-02-2022
Time_Orderd                             21:25
Time_Order_picked                       21:30
Weather conditions                      Windy
Road_traffic_density                      Jam
Vehicle_condition                           0
Type_of_order                            Meal
Type_of_vehicle                    motorcycle
multiple_deliveries                  2.000000
Festival                                   No
City                                      NaN
Time_taken (min)                    35.000000
Name: 23733, dtype: object
