ID                                    0x6bc3
Delivery_person_ID             MUMRES18DEL01
Delivery_person_Age                21.000000
Delivery_person_Ratings             4.600000
Restaurant_latitude                19.109300
Restaurant_longitude               72.825451
Delivery_location_latitude         19.179300
Delivery_location_longitude        72.895451
Order_Date                        16-03-2022
Time_Orderd                            20:10
Time_Order_picked                      20:25
Weather conditions                    Stormy
Road_traffic_density                     Jam
Vehicle_condition                          2
Type_of_order                         Buffet
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                                     NaN
Time_taken (min)                   16.000000
Name: 5803, dtype: object
