ID                                      0x4df
Delivery_person_ID             CHENRES06DEL03
Delivery_person_Age                       NaN
Delivery_person_Ratings                   NaN
Restaurant_latitude                -13.054347
Restaurant_longitude               -80.257221
Delivery_location_latitude          13.084347
Delivery_location_longitude         80.287221
Order_Date                         03-03-2022
Time_Orderd                               NaN
Time_Order_picked                       23:25
Weather conditions                 Sandstorms
Road_traffic_density                      Low
Vehicle_condition                           1
Type_of_order                          Drinks
Type_of_vehicle                       scooter
multiple_deliveries                       NaN
Festival                                   No
City                                    Urban
Time_taken (min)                    11.000000
Name: 18347, dtype: object
