ID                                     0xa05b
Delivery_person_ID             CHENRES05DEL02
Delivery_person_Age                 33.000000
Delivery_person_Ratings              4.900000
Restaurant_latitude                 13.058616
Restaurant_longitude                80.264151
Delivery_location_latitude          13.188616
Delivery_location_longitude         80.394151
Order_Date                         25-03-2022
Time_Orderd                             19:50
Time_Order_picked                       19:60
Weather conditions                        Fog
Road_traffic_density                      Jam
Vehicle_condition                           2
Type_of_order                            Meal
Type_of_vehicle                    motorcycle
multiple_deliveries                  1.000000
Festival                                  Yes
City                            Metropolitian
Time_taken (min)                    47.000000
Name: 1930, dtype: object
