ID                                        0x56d
Delivery_person_ID             RANCHIRES17DEL02
Delivery_person_Age                         NaN
Delivery_person_Ratings                     NaN
Restaurant_latitude                  -23.374878
Restaurant_longitude                  85.335739
Delivery_location_latitude            23.504878
Delivery_location_longitude           85.465739
Order_Date                           29-03-2022
Time_Orderd                                 NaN
Time_Order_picked                         20:25
Weather conditions                          NaN
Road_traffic_density                        NaN
Vehicle_condition                             1
Type_of_order                            Buffet
Type_of_vehicle                      motorcycle
multiple_deliveries                         NaN
Festival                                     No
City                              Metropolitian
Time_taken (min)                      28.000000
Name: 40620, dtype: object
