ID                                    0x89bf
Delivery_person_ID             HYDRES08DEL01
Delivery_person_Age                32.000000
Delivery_person_Ratings             3.500000
Restaurant_latitude                17.438263
Restaurant_longitude               78.397865
Delivery_location_latitude         17.548263
Delivery_location_longitude        78.507865
Order_Date                        10-03-2022
Time_Orderd                            22:15
Time_Order_picked                      22:25
Weather conditions                    Cloudy
Road_traffic_density                     Low
Vehicle_condition                          1
Type_of_order                         Drinks
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   32.000000
Name: 33798, dtype: object
