ID                                       0x8c1a
Delivery_person_ID             RANCHIRES07DEL03
Delivery_person_Age                   25.000000
Delivery_person_Ratings                4.300000
Restaurant_latitude                   23.359407
Restaurant_longitude                  85.325055
Delivery_location_latitude            23.449407
Delivery_location_longitude           85.415055
Order_Date                           04-04-2022
Time_Orderd                               20:40
Time_Order_picked                         20:50
Weather conditions                        Windy
Road_traffic_density                        Jam
Vehicle_condition                             0
Type_of_order                              Meal
Type_of_vehicle                      motorcycle
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      36.000000
Name: 30746, dtype: object
