ID                                    0x7d1d
Delivery_person_ID             HYDRES03DEL03
Delivery_person_Age                29.000000
Delivery_person_Ratings             4.000000
Restaurant_latitude                17.422819
Restaurant_longitude               78.449578
Delivery_location_latitude         17.482819
Delivery_location_longitude        78.509578
Order_Date                        03-03-2022
Time_Orderd                            20:15
Time_Order_picked                      20:20
Weather conditions                    Cloudy
Road_traffic_density                     Jam
Vehicle_condition                          1
Type_of_order                         Drinks
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   33.000000
Name: 24727, dtype: object
