ID                                     0x6ac2
Delivery_person_ID             INDORES05DEL03
Delivery_person_Age                 24.000000
Delivery_person_Ratings              3.800000
Restaurant_latitude                 22.727021
Restaurant_longitude                75.884167
Delivery_location_latitude          22.757021
Delivery_location_longitude         75.914167
Order_Date                         17-03-2022
Time_Orderd                             20:40
Time_Order_picked                       20:45
Weather conditions                      Sunny
Road_traffic_density                      Jam
Vehicle_condition                           0
Type_of_order                          Buffet
Type_of_vehicle                    motorcycle
multiple_deliveries                  2.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    40.000000
Name: 2019, dtype: object
