ID                                        0x749
Delivery_person_ID                VADRES03DEL01
Delivery_person_Age                         NaN
Delivery_person_Ratings                     NaN
Restaurant_latitude                       22.32
Restaurant_longitude                      73.17
Delivery_location_latitude                22.36
Delivery_location_longitude               73.21
Order_Date                           03-03-2022
Time_Orderd                                 NaN
Time_Order_picked                         14:50
Weather conditions                        Sunny
Road_traffic_density                       High
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                        0.00
Festival                                     No
City                              Metropolitian
Time_taken (min)                          14.00
Name: 34299, dtype: object
