ID                                      0xaa5
Delivery_person_ID             SURRES010DEL02
Delivery_person_Age                       NaN
Delivery_person_Ratings                   NaN
Restaurant_latitude                 21.171060
Restaurant_longitude                72.789292
Delivery_location_latitude          21.301060
Delivery_location_longitude         72.919292
Order_Date                         06-03-2022
Time_Orderd                               NaN
Time_Order_picked                       18:55
Weather conditions                        Fog
Road_traffic_density                   Medium
Vehicle_condition                           0
Type_of_order                            Meal
Type_of_vehicle                    motorcycle
multiple_deliveries                  2.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    45.000000
Name: 34459, dtype: object
