ID                                       0xd5ff
Delivery_person_ID               AURGRES03DEL02
Delivery_person_Age                   26.000000
Delivery_person_Ratings                4.800000
Restaurant_latitude                   19.874733
Restaurant_longitude                  75.353942
Delivery_location_latitude            20.004733
Delivery_location_longitude           75.483942
Order_Date                           12-02-2022
Time_Orderd                               20:30
Time_Order_picked                         20:40
Weather conditions                   Sandstorms
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                              Meal
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                                        NaN
Time_taken (min)                      24.000000
Name: 34921, dtype: object
