ID                                       0xcdb4
Delivery_person_ID                KNPRES20DEL03
Delivery_person_Age                       22.00
Delivery_person_Ratings                    4.70
Restaurant_latitude                       26.47
Restaurant_longitude                      80.35
Delivery_location_latitude                26.56
Delivery_location_longitude               80.44
Order_Date                           16-02-2022
Time_Orderd                               22:30
Time_Order_picked                         22:40
Weather conditions                          Fog
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                        0.00
Festival                                     No
City                              Metropolitian
Time_taken (min)                          22.00
Name: 19556, dtype: object
