ID                                    0xc0bb
Delivery_person_ID             KOCRES17DEL01
Delivery_person_Age                27.000000
Delivery_person_Ratings             4.700000
Restaurant_latitude                -9.959778
Restaurant_longitude               76.296106
Delivery_location_latitude          9.969778
Delivery_location_longitude        76.306106
Order_Date                        15-02-2022
Time_Orderd                             9:20
Time_Order_picked                       9:25
Weather conditions                    Cloudy
Road_traffic_density                     Low
Vehicle_condition                          0
Type_of_order                         Buffet
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                                   Urban
Time_taken (min)                   15.000000
Name: 11921, dtype: object
