ID                                    0x56fa
Delivery_person_ID             MYSRES12DEL02
Delivery_person_Age                37.000000
Delivery_person_Ratings             4.900000
Restaurant_latitude                12.284747
Restaurant_longitude               76.625861
Delivery_location_latitude         12.304747
Delivery_location_longitude        76.645861
Order_Date                        07-03-2022
Time_Orderd                             8:45
Time_Order_picked                       8:55
Weather conditions                       Fog
Road_traffic_density                     Low
Vehicle_condition                          0
Type_of_order                          Snack
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                                   Urban
Time_taken (min)                   25.000000
Name: 15468, dtype: object
