ID                                    0xbf3e
Delivery_person_ID             KOCRES05DEL02
Delivery_person_Age                      NaN
Delivery_person_Ratings                  NaN
Restaurant_latitude                 9.970717
Restaurant_longitude               76.285447
Delivery_location_latitude          9.990717
Delivery_location_longitude        76.305447
Order_Date                        11-02-2022
Time_Orderd                              NaN
Time_Order_picked                      10:15
Weather conditions                Sandstorms
Road_traffic_density                     Low
Vehicle_condition                          2
Type_of_order                         Drinks
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                                     NaN
Time_taken (min)                   13.000000
Name: 17882, dtype: object
