ID                                       0x86ce
Delivery_person_ID                VADRES11DEL03
Delivery_person_Age                   28.000000
Delivery_person_Ratings                4.900000
Restaurant_latitude                   22.308096
Restaurant_longitude                  73.167753
Delivery_location_latitude            22.338096
Delivery_location_longitude           73.197753
Order_Date                           21-03-2022
Time_Orderd                               17:55
Time_Order_picked                         18:10
Weather conditions                   Sandstorms
Road_traffic_density                     Medium
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                                      Urban
Time_taken (min)                      27.000000
Name: 19296, dtype: object
