ID                                     0x85dc
Delivery_person_ID             CHENRES01DEL02
Delivery_person_Age                 22.000000
Delivery_person_Ratings              4.300000
Restaurant_latitude                 13.005801
Restaurant_longitude                80.250744
Delivery_location_latitude          13.135801
Delivery_location_longitude         80.380744
Order_Date                         16-03-2022
Time_Orderd                             19:20
Time_Order_picked                       19:25
Weather conditions                        Fog
Road_traffic_density                      Jam
Vehicle_condition                           1
Type_of_order                          Buffet
Type_of_vehicle                    motorcycle
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    40.000000
Name: 30741, dtype: object
