ID                                       0xb83e
Delivery_person_ID               BANGRES08DEL01
Delivery_person_Age                   32.000000
Delivery_person_Ratings                4.500000
Restaurant_latitude                   12.906229
Restaurant_longitude                  77.596791
Delivery_location_latitude            13.016229
Delivery_location_longitude           77.706791
Order_Date                           16-03-2022
Time_Orderd                               23:30
Time_Order_picked                         23:35
Weather conditions                          Fog
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      29.000000
Name: 25751, dtype: object
