ID                                    0x4eca
Delivery_person_ID             JAPRES11DEL01
Delivery_person_Age                26.000000
Delivery_person_Ratings             4.900000
Restaurant_latitude                26.902940
Restaurant_longitude               75.793007
Delivery_location_latitude         26.912940
Delivery_location_longitude        75.803007
Order_Date                        28-03-2022
Time_Orderd                             8:35
Time_Order_picked                       8:45
Weather conditions                    Cloudy
Road_traffic_density                     Low
Vehicle_condition                          2
Type_of_order                           Meal
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   11.000000
Name: 15149, dtype: object
