ID                                       0x22ba
Delivery_person_ID               MYSRES010DEL02
Delivery_person_Age                   26.000000
Delivery_person_Ratings                4.900000
Restaurant_latitude                   12.321214
Restaurant_longitude                  76.621094
Delivery_location_latitude            12.451214
Delivery_location_longitude           76.751094
Order_Date                           06-03-2022
Time_Orderd                               22:35
Time_Order_picked                         22:50
Weather conditions                   Sandstorms
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                            Buffet
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                                        NaN
Time_taken (min)                      17.000000
Name: 536, dtype: object
