ID                                     0xad95
Delivery_person_ID             PUNERES08DEL03
Delivery_person_Age                  35.00000
Delivery_person_Ratings               4.60000
Restaurant_latitude                  18.53408
Restaurant_longitude                 73.89852
Delivery_location_latitude           18.62408
Delivery_location_longitude          73.98852
Order_Date                         10-03-2022
Time_Orderd                             22:50
Time_Order_picked                       22:55
Weather conditions                      Sunny
Road_traffic_density                      Low
Vehicle_condition                           1
Type_of_order                           Snack
Type_of_vehicle                    motorcycle
multiple_deliveries                   1.00000
Festival                                   No
City                                      NaN
Time_taken (min)                     25.00000
Name: 31718, dtype: object
