ID                                    0xbf46
Delivery_person_ID             KNPRES19DEL03
Delivery_person_Age                      NaN
Delivery_person_Ratings                  NaN
Restaurant_latitude                26.490950
Restaurant_longitude               80.318656
Delivery_location_latitude         26.520950
Delivery_location_longitude        80.348656
Order_Date                        15-02-2022
Time_Orderd                              NaN
Time_Order_picked                      20:35
Weather conditions                    Cloudy
Road_traffic_density                     Jam
Vehicle_condition                          2
Type_of_order                          Snack
Type_of_vehicle                      scooter
multiple_deliveries                 1.000000
Festival                                  No
City                                   Urban
Time_taken (min)                   32.000000
Name: 39527, dtype: object
