ID                                     0x3ee0
Delivery_person_ID             CHENRES08DEL03
Delivery_person_Age                 26.000000
Delivery_person_Ratings              4.900000
Restaurant_latitude                 13.022394
Restaurant_longitude                80.242439
Delivery_location_latitude          13.052394
Delivery_location_longitude         80.272439
Order_Date                         24-03-2022
Time_Orderd                             17:15
Time_Order_picked                       17:25
Weather conditions                      Sunny
Road_traffic_density                   Medium
Vehicle_condition                           2
Type_of_order                            Meal
Type_of_vehicle                       scooter
multiple_deliveries                  0.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    15.000000
Name: 36432, dtype: object
