ID                                        0x42b
Delivery_person_ID               INDORES14DEL03
Delivery_person_Age                         NaN
Delivery_person_Ratings                     NaN
Restaurant_latitude                   22.761593
Restaurant_longitude                  75.886362
Delivery_location_latitude            22.851593
Delivery_location_longitude           75.976362
Order_Date                           20-03-2022
Time_Orderd                                 NaN
Time_Order_picked                         17:50
Weather conditions                          NaN
Road_traffic_density                        NaN
Vehicle_condition                             3
Type_of_order                            Buffet
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                                      Urban
Time_taken (min)                      34.000000
Name: 37511, dtype: object
