ID                                    0xcd6d
Delivery_person_ID             GOARES04DEL02
Delivery_person_Age                30.000000
Delivery_person_Ratings             4.900000
Restaurant_latitude                15.569600
Restaurant_longitude               73.742294
Delivery_location_latitude         15.619600
Delivery_location_longitude        73.792294
Order_Date                        17-02-2022
Time_Orderd                            21:30
Time_Order_picked                      21:45
Weather conditions                    Cloudy
Road_traffic_density                     Jam
Vehicle_condition                          0
Type_of_order                          Snack
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   33.000000
Name: 35472, dtype: object
