ID                                      0x8dd9
Delivery_person_ID             COIMBRES13DEL02
Delivery_person_Age                  31.000000
Delivery_person_Ratings               4.800000
Restaurant_latitude                  11.003669
Restaurant_longitude                 76.976494
Delivery_location_latitude           11.023669
Delivery_location_longitude          76.996494
Order_Date                          09-03-2022
Time_Orderd                               9:50
Time_Order_picked                         9:60
Weather conditions                  Sandstorms
Road_traffic_density                       Low
Vehicle_condition                            1
Type_of_order                             Meal
Type_of_vehicle                     motorcycle
multiple_deliveries                   1.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     21.000000
Name: 21257, dtype: object
