ID                                       0x4efa
Delivery_person_ID                MYSRES06DEL01
Delivery_person_Age                   22.000000
Delivery_person_Ratings                4.800000
Restaurant_latitude                   12.323994
Restaurant_longitude                  76.626167
Delivery_location_latitude            12.333994
Delivery_location_longitude           76.636167
Order_Date                           01-04-2022
Time_Orderd                                9:35
Time_Order_picked                          9:50
Weather conditions                        Sunny
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                              Meal
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                                      Urban
Time_taken (min)                      20.000000
Name: 41468, dtype: object
