ID                                    0x2abe
Delivery_person_ID             SURRES03DEL01
Delivery_person_Age                36.000000
Delivery_person_Ratings             4.000000
Restaurant_latitude                21.186884
Restaurant_longitude               72.793616
Delivery_location_latitude         21.226884
Delivery_location_longitude        72.833616
Order_Date                        15-03-2022
Time_Orderd                            14:35
Time_Order_picked                      14:45
Weather conditions                       Fog
Road_traffic_density                    High
Vehicle_condition                          1
Type_of_order                         Drinks
Type_of_vehicle                   motorcycle
multiple_deliveries                 2.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   35.000000
Name: 2242, dtype: object
