ID                                    0xd12a
Delivery_person_ID             GOARES17DEL03
Delivery_person_Age                30.000000
Delivery_person_Ratings             4.400000
Restaurant_latitude                15.496162
Restaurant_longitude               73.825364
Delivery_location_latitude         15.586162
Delivery_location_longitude        73.915364
Order_Date                        16-02-2022
Time_Orderd                            23:35
Time_Order_picked                      23:40
Weather conditions                       Fog
Road_traffic_density                     Low
Vehicle_condition                          2
Type_of_order                         Drinks
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   31.000000
Name: 18166, dtype: object
