ID                                     0xc6b1
Delivery_person_ID             AURGRES12DEL02
Delivery_person_Age                 39.000000
Delivery_person_Ratings              3.800000
Restaurant_latitude                 19.879631
Restaurant_longitude                75.323403
Delivery_location_latitude          20.009631
Delivery_location_longitude         75.453403
Order_Date                         14-02-2022
Time_Orderd                             23:55
Time_Order_picked                       23:60
Weather conditions                     Cloudy
Road_traffic_density                      Low
Vehicle_condition                           1
Type_of_order                           Snack
Type_of_vehicle                    motorcycle
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    32.000000
Name: 11669, dtype: object
