ID                                       0x16cb
Delivery_person_ID               BANGRES11DEL02
Delivery_person_Age                         NaN
Delivery_person_Ratings                     NaN
Restaurant_latitude                   12.934365
Restaurant_longitude                  77.616155
Delivery_location_latitude            13.064365
Delivery_location_longitude           77.746155
Order_Date                           20-03-2022
Time_Orderd                               17:20
Time_Order_picked                         17:35
Weather conditions                   Sandstorms
Road_traffic_density                     Medium
Vehicle_condition                             2
Type_of_order                              Meal
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      22.000000
Name: 44722, dtype: object
