ID                                     0x6ede
Delivery_person_ID             INDORES18DEL02
Delivery_person_Age                 32.000000
Delivery_person_Ratings              3.600000
Restaurant_latitude                 22.753839
Restaurant_longitude                75.897429
Delivery_location_latitude          22.833838
Delivery_location_longitude         75.977429
Order_Date                         04-03-2022
Time_Orderd                             21:15
Time_Order_picked                       21:20
Weather conditions                     Stormy
Road_traffic_density                      Jam
Vehicle_condition                           2
Type_of_order                          Buffet
Type_of_vehicle                    motorcycle
multiple_deliveries                  0.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    34.000000
Name: 36102, dtype: object
