ID                                      0x501a
Delivery_person_ID             COIMBRES12DEL02
Delivery_person_Age                  30.000000
Delivery_person_Ratings               5.000000
Restaurant_latitude                  11.000762
Restaurant_longitude                 76.981876
Delivery_location_latitude           11.020762
Delivery_location_longitude          77.001876
Order_Date                          11-03-2022
Time_Orderd                               8:10
Time_Order_picked                         8:20
Weather conditions                  Sandstorms
Road_traffic_density                       Low
Vehicle_condition                            1
Type_of_order                           Drinks
Type_of_vehicle                        scooter
multiple_deliveries                   0.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     25.000000
Name: 37460, dtype: object
