ID                                    0xbffa
Delivery_person_ID             KNPRES20DEL02
Delivery_person_Age                    30.00
Delivery_person_Ratings                 4.00
Restaurant_latitude                    26.47
Restaurant_longitude                   80.35
Delivery_location_latitude             26.52
Delivery_location_longitude            80.40
Order_Date                        17-02-2022
Time_Orderd                            19:40
Time_Order_picked                      19:50
Weather conditions                    Cloudy
Road_traffic_density                     Jam
Vehicle_condition                          1
Type_of_order                         Drinks
Type_of_vehicle                   motorcycle
multiple_deliveries                     1.00
Festival                                  No
City                           Metropolitian
Time_taken (min)                       33.00
Name: 37455, dtype: object
