ID                                        0xbfa
Delivery_person_ID               CHENRES15DEL01
Delivery_person_Age                   29.000000
Delivery_person_Ratings                4.700000
Restaurant_latitude                   13.026286
Restaurant_longitude                  80.275235
Delivery_location_latitude            13.096286
Delivery_location_longitude           80.345235
Order_Date                           18-03-2022
Time_Orderd                               18:20
Time_Order_picked                         18:25
Weather conditions                        Windy
Road_traffic_density                     Medium
Vehicle_condition                             2
Type_of_order                            Buffet
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      18.000000
Name: 26166, dtype: object
