ID                                     0xbb93
Delivery_person_ID             INDORES13DEL03
Delivery_person_Age                 30.000000
Delivery_person_Ratings              4.600000
Restaurant_latitude                 22.745049
Restaurant_longitude                75.892471
Delivery_location_latitude          22.775049
Delivery_location_longitude         75.922471
Order_Date                         11-03-2022
Time_Orderd                             20:20
Time_Order_picked                       20:30
Weather conditions                      Windy
Road_traffic_density                      Jam
Vehicle_condition                           0
Type_of_order                           Snack
Type_of_vehicle                    motorcycle
multiple_deliveries                  1.000000
Festival                                   No
City                                    Urban
Time_taken (min)                    39.000000
Name: 20134, dtype: object
