ID                                    0xc7e6
Delivery_person_ID             KNPRES12DEL03
Delivery_person_Age                      NaN
Delivery_person_Ratings                  NaN
Restaurant_latitude                26.492106
Restaurant_longitude               80.327797
Delivery_location_latitude         26.632106
Delivery_location_longitude        80.467797
Order_Date                        14-02-2022
Time_Orderd                              NaN
Time_Order_picked                      21:10
Weather conditions                       Fog
Road_traffic_density                     Jam
Vehicle_condition                          1
Type_of_order                          Snack
Type_of_vehicle                      scooter
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   41.000000
Name: 31726, dtype: object
