ID                                       0xb89e
Delivery_person_ID               CHENRES14DEL02
Delivery_person_Age                   25.000000
Delivery_person_Ratings                4.800000
Restaurant_latitude                   13.026279
Restaurant_longitude                  80.174568
Delivery_location_latitude            13.156279
Delivery_location_longitude           80.304568
Order_Date                           29-03-2022
Time_Orderd                               18:30
Time_Order_picked                         18:45
Weather conditions                        Windy
Road_traffic_density                     Medium
Vehicle_condition                             2
Type_of_order                             Snack
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      21.000000
Name: 5936, dtype: object
