ID                                     0xbf3c
Delivery_person_ID             LUDHRES11DEL02
Delivery_person_Age                       NaN
Delivery_person_Ratings                   NaN
Restaurant_latitude                 30.893081
Restaurant_longitude                75.821495
Delivery_location_latitude          30.943081
Delivery_location_longitude         75.871495
Order_Date                         13-02-2022
Time_Orderd                               NaN
Time_Order_picked                       19:40
Weather conditions                        NaN
Road_traffic_density                      Jam
Vehicle_condition                           0
Type_of_order                            Meal
Type_of_vehicle                    motorcycle
multiple_deliveries                       NaN
Festival                                   No
City                            Metropolitian
Time_taken (min)                    35.000000
Name: 17783, dtype: object
