ID                                     0x319c
Delivery_person_ID             PUNERES04DEL03
Delivery_person_Age                 21.000000
Delivery_person_Ratings              4.800000
Restaurant_latitude                 18.514210
Restaurant_longitude                73.838429
Delivery_location_latitude          18.574210
Delivery_location_longitude         73.898429
Order_Date                         05-04-2022
Time_Orderd                             20:15
Time_Order_picked                       20:20
Weather conditions                      Windy
Road_traffic_density                      Jam
Vehicle_condition                           1
Type_of_order                          Buffet
Type_of_vehicle                    motorcycle
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    27.000000
Name: 43609, dtype: object
