ID                                     0x2ee2
Delivery_person_ID             INDORES08DEL03
Delivery_person_Age                 34.000000
Delivery_person_Ratings              4.100000
Restaurant_latitude                 22.725748
Restaurant_longitude                75.898497
Delivery_location_latitude          22.785747
Delivery_location_longitude         75.958497
Order_Date                         24-03-2022
Time_Orderd                             19:15
Time_Order_picked                       19:20
Weather conditions                     Cloudy
Road_traffic_density                      Jam
Vehicle_condition                           0
Type_of_order                           Snack
Type_of_vehicle                    motorcycle
multiple_deliveries                  1.000000
Festival                                   No
City                                    Urban
Time_taken (min)                    32.000000
Name: 41884, dtype: object
