ID                                       0x9c0b
Delivery_person_ID             RANCHIRES02DEL01
Delivery_person_Age                       30.00
Delivery_person_Ratings                    4.50
Restaurant_latitude                        0.00
Restaurant_longitude                       0.00
Delivery_location_latitude                 0.01
Delivery_location_longitude                0.01
Order_Date                           05-04-2022
Time_Orderd                               10:35
Time_Order_picked                         10:40
Weather conditions                   Sandstorms
Road_traffic_density                        Low
Vehicle_condition                             0
Type_of_order                            Buffet
Type_of_vehicle                      motorcycle
multiple_deliveries                        0.00
Festival                                     No
City                              Metropolitian
Time_taken (min)                          28.00
Name: 23980, dtype: object
