ID                                    0xa436
Delivery_person_ID             HYDRES15DEL01
Delivery_person_Age                32.000000
Delivery_person_Ratings             4.700000
Restaurant_latitude                17.459710
Restaurant_longitude               78.368855
Delivery_location_latitude         17.529710
Delivery_location_longitude        78.438855
Order_Date                        25-03-2022
Time_Orderd                            18:45
Time_Order_picked                      18:50
Weather conditions                     Windy
Road_traffic_density                  Medium
Vehicle_condition                          0
Type_of_order                          Snack
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                              Semi-Urban
Time_taken (min)                   49.000000
Name: 7521, dtype: object
