ID                                       0xdc19
Delivery_person_ID                DEHRES06DEL02
Delivery_person_Age                   27.000000
Delivery_person_Ratings                4.700000
Restaurant_latitude                   30.361281
Restaurant_longitude                  78.068022
Delivery_location_latitude            30.381281
Delivery_location_longitude           78.088022
Order_Date                           15-02-2022
Time_Orderd                                8:40
Time_Order_picked                          8:55
Weather conditions                   Sandstorms
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                            Buffet
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      16.000000
Name: 4240, dtype: object
