ID                                       0x76ba
Delivery_person_ID             RANCHIRES12DEL02
Delivery_person_Age                       33.00
Delivery_person_Ratings                    4.70
Restaurant_latitude                        0.00
Restaurant_longitude                       0.00
Delivery_location_latitude                 0.08
Delivery_location_longitude                0.08
Order_Date                           27-03-2022
Time_Orderd                               18:25
Time_Order_picked                         18:40
Weather conditions                       Cloudy
Road_traffic_density                     Medium
Vehicle_condition                             0
Type_of_order                            Drinks
Type_of_vehicle                      motorcycle
multiple_deliveries                        1.00
Festival                                     No
City                              Metropolitian
Time_taken (min)                          41.00
Name: 27427, dtype: object
