ID                                     0xabfa
Delivery_person_ID             INDORES12DEL03
Delivery_person_Age                  22.00000
Delivery_person_Ratings               4.10000
Restaurant_latitude                  22.74806
Restaurant_longitude                 75.89340
Delivery_location_latitude           22.80806
Delivery_location_longitude          75.95340
Order_Date                         03-04-2022
Time_Orderd                             23:60
Time_Order_picked                       24:15
Weather conditions                      Windy
Road_traffic_density                      Low
Vehicle_condition                           0
Type_of_order                          Buffet
Type_of_vehicle                    motorcycle
multiple_deliveries                   1.00000
Festival                                   No
City                            Metropolitian
Time_taken (min)                     29.00000
Name: 19894, dtype: object
