ID                                       0xac7d
Delivery_person_ID               INDORES13DEL01
Delivery_person_Age                   26.000000
Delivery_person_Ratings                4.500000
Restaurant_latitude                   22.745049
Restaurant_longitude                  75.892471
Delivery_location_latitude            22.785049
Delivery_location_longitude           75.932471
Order_Date                           01-03-2022
Time_Orderd                               15:50
Time_Order_picked                         16:05
Weather conditions                       Stormy
Road_traffic_density                     Medium
Vehicle_condition                             2
Type_of_order                             Snack
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      29.000000
Name: 3650, dtype: object
